"year","State","CVE_MUN","INEGI.code","ENTIDAD","MUNICIPIO","total_homicides","oil_thefts"
2015,21,1,21001,"PUEBLA","ACAJETE",2,70
2015,21,2,21002,"PUEBLA","ACATENO",4,0
2015,21,3,21003,"PUEBLA","ACATLAN",5,0
2015,21,4,21004,"PUEBLA","ACATZINGO",6,107
2015,21,5,21005,"PUEBLA","ACTEOPAN",0,0
2015,21,6,21006,"PUEBLA","AHUACATLAN",2,0
2015,21,7,21007,"PUEBLA","AHUATLAN",0,0
2015,21,8,21008,"PUEBLA","AHUAZOTEPEC",1,10
2015,21,9,21009,"PUEBLA","AHUEHUETITLA",0,0
2015,21,10,21010,"PUEBLA","AJALPAN",5,0
2015,21,11,21011,"PUEBLA","ALBINO ZERTUCHE",1,0
2015,21,12,21012,"PUEBLA","ALJOJUCA",1,0
2015,21,13,21013,"PUEBLA","ALTEPEXI",2,0
2015,21,14,21014,"PUEBLA","AMIXTLAN",0,0
2015,21,15,21015,"PUEBLA","AMOZOC",5,46
2015,21,16,21016,"PUEBLA","AQUIXTLA",0,0
2015,21,17,21017,"PUEBLA","ATEMPAN",2,0
2015,21,18,21018,"PUEBLA","ATEXCAL",0,0
2015,21,19,21019,"PUEBLA","ATLIXCO",18,0
2015,21,20,21020,"PUEBLA","ATOYATEMPAN",0,0
2015,21,21,21021,"PUEBLA","ATZALA",0,0
2015,21,22,21022,"PUEBLA","ATZITZIHUACAN",5,0
2015,21,23,21023,"PUEBLA","ATZITZINTLA",1,0
2015,21,24,21024,"PUEBLA","AXUTLA",0,0
2015,21,25,21025,"PUEBLA","AYOTOXCO DE GUERRERO",3,0
2015,21,26,21026,"PUEBLA","CALPAN",0,0
2015,21,27,21027,"PUEBLA","CALTEPEC",0,0
2015,21,28,21028,"PUEBLA","CAMOCUAUTLA",0,0
2015,21,29,21029,"PUEBLA","CAXHUACAN",0,0
2015,21,30,21030,"PUEBLA","COATEPEC",0,0
2015,21,31,21031,"PUEBLA","COATZINGO",0,0
2015,21,32,21032,"PUEBLA","COHETZALA",1,0
2015,21,33,21033,"PUEBLA","COHUECAN",2,0
2015,21,34,21034,"PUEBLA","CORONANGO",3,35
2015,21,35,21035,"PUEBLA","COXCATLAN",2,0
2015,21,36,21036,"PUEBLA","COYOMEAPAN",4,0
2015,21,37,21037,"PUEBLA","COYOTEPEC",0,0
2015,21,38,21038,"PUEBLA","CUAPIAXTLA DE MADERO",2,0
2015,21,39,21039,"PUEBLA","CUAUTEMPAN",1,0
2015,21,40,21040,"PUEBLA","CUAUTINCHAN",1,0
2015,21,41,21041,"PUEBLA","CUAUTLANCINGO",4,6
2015,21,42,21042,"PUEBLA","CUAYUCA DE ANDRADE",1,0
2015,21,43,21043,"PUEBLA","CUETZALAN DEL PROGRESO",4,0
2015,21,44,21044,"PUEBLA","CUYOACO",0,0
2015,21,45,21045,"PUEBLA","CHALCHICOMULA DE SESMA",4,0
2015,21,46,21046,"PUEBLA","CHAPULCO",0,0
2015,21,47,21047,"PUEBLA","CHIAUTLA",3,0
2015,21,48,21048,"PUEBLA","CHIAUTZINGO",1,0
2015,21,49,21049,"PUEBLA","CHICONCUAUTLA",3,0
2015,21,50,21050,"PUEBLA","CHICHIQUILA",1,0
2015,21,51,21051,"PUEBLA","CHIETLA",6,0
2015,21,52,21052,"PUEBLA","CHIGMECATITLAN",0,0
2015,21,53,21053,"PUEBLA","CHIGNAHUAPAN",5,0
2015,21,54,21054,"PUEBLA","CHIGNAUTLA",2,0
2015,21,55,21055,"PUEBLA","CHILA",0,0
2015,21,56,21056,"PUEBLA","CHILA DE LA SAL",0,0
2015,21,57,21057,"PUEBLA","HONEY",1,0
2015,21,58,21058,"PUEBLA","CHILCHOTLA",1,0
2015,21,59,21059,"PUEBLA","CHINANTLA",0,0
2015,21,60,21060,"PUEBLA","DOMINGO ARENAS",0,0
2015,21,61,21061,"PUEBLA","ELOXOCHITLAN",1,0
2015,21,62,21062,"PUEBLA","EPATLAN",1,0
2015,21,63,21063,"PUEBLA","ESPERANZA",5,17
2015,21,64,21064,"PUEBLA","FRANCISCO Z. MENA",6,0
2015,21,65,21065,"PUEBLA","GENERAL FELIPE ANGELES",5,0
2015,21,66,21066,"PUEBLA","GUADALUPE",2,0
2015,21,67,21067,"PUEBLA","GUADALUPE VICTORIA",0,0
2015,21,68,21068,"PUEBLA","HERMENEGILDO GALEANA",0,0
2015,21,69,21069,"PUEBLA","HUAQUECHULA",5,0
2015,21,70,21070,"PUEBLA","HUATLATLAUCA",0,0
2015,21,71,21071,"PUEBLA","HUAUCHINANGO",10,10
2015,21,72,21072,"PUEBLA","HUEHUETLA",0,0
2015,21,73,21073,"PUEBLA","HUEHUETLAN EL CHICO",0,0
2015,21,74,21074,"PUEBLA","HUEJOTZINGO",10,9
2015,21,75,21075,"PUEBLA","HUEYAPAN",1,0
2015,21,76,21076,"PUEBLA","HUEYTAMALCO",3,0
2015,21,77,21077,"PUEBLA","HUEYTLALPAN",0,0
2015,21,78,21078,"PUEBLA","HUITZILAN DE SERDAN",0,0
2015,21,79,21079,"PUEBLA","HUITZILTEPEC",0,0
2015,21,80,21080,"PUEBLA","ATLEQUIZAYAN",0,0
2015,21,81,21081,"PUEBLA","IXCAMILPA DE GUERRERO",0,0
2015,21,82,21082,"PUEBLA","IXCAQUIXTLA",1,0
2015,21,83,21083,"PUEBLA","IXTACAMAXTITLAN",2,0
2015,21,84,21084,"PUEBLA","IXTEPEC",0,0
2015,21,85,21085,"PUEBLA","IZUCAR DE MATAMOROS",17,0
2015,21,86,21086,"PUEBLA","JALPAN",3,0
2015,21,87,21087,"PUEBLA","JOLALPAN",2,0
2015,21,88,21088,"PUEBLA","JONOTLA",1,0
2015,21,89,21089,"PUEBLA","JOPALA",1,0
2015,21,90,21090,"PUEBLA","JUAN C. BONILLA",0,0
2015,21,91,21091,"PUEBLA","JUAN GALINDO",0,0
2015,21,92,21092,"PUEBLA","JUAN N. MENDEZ",0,0
2015,21,93,21093,"PUEBLA","LAFRAGUA",0,0
2015,21,94,21094,"PUEBLA","LIBRES",3,0
2015,21,95,21095,"PUEBLA","LA MAGDALENA TLATLAUQUITEPEC",0,0
2015,21,96,21096,"PUEBLA","MAZAPILTEPEC DE JUAREZ",1,0
2015,21,97,21097,"PUEBLA","MIXTLA",0,0
2015,21,98,21098,"PUEBLA","MOLCAXAC",1,0
2015,21,99,21099,"PUEBLA","CA„ADA MORELOS",2,0
2015,21,100,21100,"PUEBLA","NAUPAN",2,0
2015,21,101,21101,"PUEBLA","NAUZONTLA",0,0
2015,21,102,21102,"PUEBLA","NEALTICAN",0,0
2015,21,103,21103,"PUEBLA","NICOLAS BRAVO",1,0
2015,21,104,21104,"PUEBLA","NOPALUCAN",0,0
2015,21,105,21105,"PUEBLA","OCOTEPEC",1,0
2015,21,106,21106,"PUEBLA","OCOYUCAN",4,0
2015,21,107,21107,"PUEBLA","OLINTLA",0,0
2015,21,108,21108,"PUEBLA","ORIENTAL",1,0
2015,21,109,21109,"PUEBLA","PAHUATLAN",0,0
2015,21,110,21110,"PUEBLA","PALMAR DE BRAVO",9,95
