year,State,Municipality,INEGI code,ENTIDAD,MUNICIPIO,total_homicides,oil_thefts
2011,21,001,21001,PUEBLA,ACAJETE,1,5
2011,21,002,21002,PUEBLA,ACATENO,0,0
2011,21,003,21003,PUEBLA,ACATLAN,1,0
2011,21,004,21004,PUEBLA,ACATZINGO,7,5
2011,21,005,21005,PUEBLA,ACTEOPAN,0,0
2011,21,006,21006,PUEBLA,AHUACATLAN,0,0
2011,21,007,21007,PUEBLA,AHUATLAN,0,0
2011,21,008,21008,PUEBLA,AHUAZOTEPEC,0,0
2011,21,009,21009,PUEBLA,AHUEHUETITLA,0,0
2011,21,010,21010,PUEBLA,AJALPAN,5,0
2011,21,011,21011,PUEBLA,ALBINO ZERTUCHE,0,0
2011,21,012,21012,PUEBLA,ALJOJUCA,0,0
2011,21,013,21013,PUEBLA,ALTEPEXI,0,0
2011,21,014,21014,PUEBLA,AMIXTLAN,0,0
2011,21,015,21015,PUEBLA,AMOZOC,3,15
2011,21,016,21016,PUEBLA,AQUIXTLA,0,0
2011,21,017,21017,PUEBLA,ATEMPAN,0,0
2011,21,018,21018,PUEBLA,ATEXCAL,0,0
2011,21,019,21019,PUEBLA,ATLIXCO,18,0
2011,21,020,21020,PUEBLA,ATOYATEMPAN,0,0
2011,21,021,21021,PUEBLA,ATZALA,0,0
2011,21,022,21022,PUEBLA,ATZITZIHUACAN,0,0
2011,21,023,21023,PUEBLA,ATZITZINTLA,0,0
2011,21,024,21024,PUEBLA,AXUTLA,0,0
2011,21,025,21025,PUEBLA,AYOTOXCO DE GUERRERO,0,0
2011,21,026,21026,PUEBLA,CALPAN,0,0
2011,21,027,21027,PUEBLA,CALTEPEC,0,0
2011,21,028,21028,PUEBLA,CAMOCUAUTLA,0,0
2011,21,029,21029,PUEBLA,CAXHUACAN,1,0
2011,21,030,21030,PUEBLA,COATEPEC,0,0
2011,21,031,21031,PUEBLA,COATZINGO,0,0
2011,21,032,21032,PUEBLA,COHETZALA,0,0
2011,21,033,21033,PUEBLA,COHUECAN,0,0
2011,21,034,21034,PUEBLA,CORONANGO,0,8
2011,21,035,21035,PUEBLA,COXCATLAN,0,0
2011,21,036,21036,PUEBLA,COYOMEAPAN,0,0
2011,21,037,21037,PUEBLA,COYOTEPEC,0,0
2011,21,038,21038,PUEBLA,CUAPIAXTLA DE MADERO,0,0
2011,21,039,21039,PUEBLA,CUAUTEMPAN,0,0
2011,21,040,21040,PUEBLA,CUAUTINCHAN,0,0
2011,21,041,21041,PUEBLA,CUAUTLANCINGO,4,1
2011,21,042,21042,PUEBLA,CUAYUCA DE ANDRADE,0,0
2011,21,043,21043,PUEBLA,CUETZALAN DEL PROGRESO,0,0
2011,21,044,21044,PUEBLA,CUYOACO,0,0
2011,21,045,21045,PUEBLA,CHALCHICOMULA DE SESMA,5,0
2011,21,046,21046,PUEBLA,CHAPULCO,0,0
2011,21,047,21047,PUEBLA,CHIAUTLA,0,0
2011,21,048,21048,PUEBLA,CHIAUTZINGO,0,0
2011,21,049,21049,PUEBLA,CHICONCUAUTLA,1,0
2011,21,050,21050,PUEBLA,CHICHIQUILA,0,0
2011,21,051,21051,PUEBLA,CHIETLA,0,0
2011,21,052,21052,PUEBLA,CHIGMECATITLAN,0,0
2011,21,053,21053,PUEBLA,CHIGNAHUAPAN,4,0
2011,21,054,21054,PUEBLA,CHIGNAUTLA,2,0
2011,21,055,21055,PUEBLA,CHILA,1,0
2011,21,056,21056,PUEBLA,CHILA DE LA SAL,0,0
2011,21,057,21057,PUEBLA,HONEY,0,0
2011,21,058,21058,PUEBLA,CHILCHOTLA,0,0
2011,21,059,21059,PUEBLA,CHINANTLA,0,0
2011,21,060,21060,PUEBLA,DOMINGO ARENAS,0,0
2011,21,061,21061,PUEBLA,ELOXOCHITLAN,0,0
2011,21,062,21062,PUEBLA,EPATLAN,1,0
2011,21,063,21063,PUEBLA,ESPERANZA,2,0
2011,21,064,21064,PUEBLA,FRANCISCO Z. MENA,2,0
2011,21,065,21065,PUEBLA,GENERAL FELIPE ANGELES,0,0
2011,21,066,21066,PUEBLA,GUADALUPE,0,0
2011,21,067,21067,PUEBLA,GUADALUPE VICTORIA,0,0
2011,21,068,21068,PUEBLA,HERMENEGILDO GALEANA,0,0
2011,21,069,21069,PUEBLA,HUAQUECHULA,0,0
2011,21,070,21070,PUEBLA,HUATLATLAUCA,0,0
2011,21,071,21071,PUEBLA,HUAUCHINANGO,10,0
2011,21,072,21072,PUEBLA,HUEHUETLA,0,0
2011,21,073,21073,PUEBLA,HUEHUETLAN EL CHICO,1,0
2011,21,074,21074,PUEBLA,HUEJOTZINGO,11,16
2011,21,075,21075,PUEBLA,HUEYAPAN,0,0
2011,21,076,21076,PUEBLA,HUEYTAMALCO,1,0
2011,21,077,21077,PUEBLA,HUEYTLALPAN,0,0
2011,21,078,21078,PUEBLA,HUITZILAN DE SERDAN,1,0
2011,21,079,21079,PUEBLA,HUITZILTEPEC,2,0
2011,21,080,21080,PUEBLA,ATLEQUIZAYAN,0,0
2011,21,081,21081,PUEBLA,IXCAMILPA DE GUERRERO,1,0
2011,21,082,21082,PUEBLA,IXCAQUIXTLA,0,0
2011,21,083,21083,PUEBLA,IXTACAMAXTITLAN,1,0
2011,21,084,21084,PUEBLA,IXTEPEC,0,0
2011,21,085,21085,PUEBLA,IZUCAR DE MATAMOROS,16,0
2011,21,086,21086,PUEBLA,JALPAN,3,0
2011,21,087,21087,PUEBLA,JOLALPAN,0,0
2011,21,088,21088,PUEBLA,JONOTLA,0,0
2011,21,089,21089,PUEBLA,JOPALA,0,0
2011,21,090,21090,PUEBLA,JUAN C. BONILLA,1,1
