"year","State","CVE_MUN","INEGI.code","ENTIDAD","MUNICIPIO","total_homicides","oil_thefts"
2011,21,1,21001,"PUEBLA","ACAJETE",1,5
2011,21,2,21002,"PUEBLA","ACATENO",0,0
2011,21,3,21003,"PUEBLA","ACATLAN",1,0
2011,21,4,21004,"PUEBLA","ACATZINGO",7,5
2011,21,5,21005,"PUEBLA","ACTEOPAN",0,0
2011,21,6,21006,"PUEBLA","AHUACATLAN",0,0
2011,21,7,21007,"PUEBLA","AHUATLAN",0,0
2011,21,8,21008,"PUEBLA","AHUAZOTEPEC",0,0
2011,21,9,21009,"PUEBLA","AHUEHUETITLA",0,0
2011,21,10,21010,"PUEBLA","AJALPAN",5,0
2011,21,11,21011,"PUEBLA","ALBINO ZERTUCHE",0,0
2011,21,12,21012,"PUEBLA","ALJOJUCA",0,0
2011,21,13,21013,"PUEBLA","ALTEPEXI",0,0
2011,21,14,21014,"PUEBLA","AMIXTLAN",0,0
2011,21,15,21015,"PUEBLA","AMOZOC",3,15
2011,21,16,21016,"PUEBLA","AQUIXTLA",0,0
2011,21,17,21017,"PUEBLA","ATEMPAN",0,0
2011,21,18,21018,"PUEBLA","ATEXCAL",0,0
2011,21,19,21019,"PUEBLA","ATLIXCO",18,0
2011,21,20,21020,"PUEBLA","ATOYATEMPAN",0,0
2011,21,21,21021,"PUEBLA","ATZALA",0,0
2011,21,22,21022,"PUEBLA","ATZITZIHUACAN",0,0
2011,21,23,21023,"PUEBLA","ATZITZINTLA",0,0
2011,21,24,21024,"PUEBLA","AXUTLA",0,0
2011,21,25,21025,"PUEBLA","AYOTOXCO DE GUERRERO",0,0
2011,21,26,21026,"PUEBLA","CALPAN",0,0
2011,21,27,21027,"PUEBLA","CALTEPEC",0,0
2011,21,28,21028,"PUEBLA","CAMOCUAUTLA",0,0
2011,21,29,21029,"PUEBLA","CAXHUACAN",1,0
2011,21,30,21030,"PUEBLA","COATEPEC",0,0
2011,21,31,21031,"PUEBLA","COATZINGO",0,0
2011,21,32,21032,"PUEBLA","COHETZALA",0,0
2011,21,33,21033,"PUEBLA","COHUECAN",0,0
2011,21,34,21034,"PUEBLA","CORONANGO",0,8
2011,21,35,21035,"PUEBLA","COXCATLAN",0,0
2011,21,36,21036,"PUEBLA","COYOMEAPAN",0,0
2011,21,37,21037,"PUEBLA","COYOTEPEC",0,0
2011,21,38,21038,"PUEBLA","CUAPIAXTLA DE MADERO",0,0
2011,21,39,21039,"PUEBLA","CUAUTEMPAN",0,0
2011,21,40,21040,"PUEBLA","CUAUTINCHAN",0,0
2011,21,41,21041,"PUEBLA","CUAUTLANCINGO",4,1
2011,21,42,21042,"PUEBLA","CUAYUCA DE ANDRADE",0,0
2011,21,43,21043,"PUEBLA","CUETZALAN DEL PROGRESO",0,0
2011,21,44,21044,"PUEBLA","CUYOACO",0,0
2011,21,45,21045,"PUEBLA","CHALCHICOMULA DE SESMA",5,0
2011,21,46,21046,"PUEBLA","CHAPULCO",0,0
2011,21,47,21047,"PUEBLA","CHIAUTLA",0,0
2011,21,48,21048,"PUEBLA","CHIAUTZINGO",0,0
2011,21,49,21049,"PUEBLA","CHICONCUAUTLA",1,0
2011,21,50,21050,"PUEBLA","CHICHIQUILA",0,0
2011,21,51,21051,"PUEBLA","CHIETLA",0,0
2011,21,52,21052,"PUEBLA","CHIGMECATITLAN",0,0
2011,21,53,21053,"PUEBLA","CHIGNAHUAPAN",4,0
2011,21,54,21054,"PUEBLA","CHIGNAUTLA",2,0
2011,21,55,21055,"PUEBLA","CHILA",1,0
2011,21,56,21056,"PUEBLA","CHILA DE LA SAL",0,0
